File name,Edges modified,Execution time
heur001.gr,13,0.0009999275207519531
heur002.gr,1129,0.03297996520996094
heur003.gr,1708,0.018990039825439453
heur004.gr,2126,0.032980918884277344
heur005.gr,2944,0.025984525680541992
heur006.gr,4693,0.038977861404418945
heur007.gr,4853,0.04597353935241699
heur008.gr,508,0.01699042320251465
heur009.gr,876,0.016989946365356445
heur010 (1).gr,1725,0.027984142303466797
heur010.gr,2179,0.025985240936279297
heur011.gr,2395,0.043974876403808594
heur012.gr,8017,0.13663411140441895
heur013.gr,5917,0.13970541954040527
heur014.gr,11997,0.08595085144042969
heur015.gr,8520,0.0934298038482666
heur016.gr,11364,0.11055278778076172
heur017.gr,10123,0.11696410179138184
heur018.gr,4730,0.2137749195098877
heur019.gr,7700,0.2810366153717041
heur020.gr,1972,0.04540276527404785
heur021.gr,5953,0.07105612754821777
heur022.gr,12064,0.09734845161437988
heur023.gr,8027,0.11879968643188477
heur024.gr,5715,0.1775679588317871
heur025.gr,5250,0.18939757347106934
heur026.gr,732,0.024985313415527344
heur027.gr,1303,0.016986608505249023
heur028.gr,1815,0.019433259963989258
heur029.gr,2875,0.03025221824645996
heur030.gr,3056,0.0339808464050293
heur031.gr,4331,0.0439763069152832
heur032.gr,6249,0.07178592681884766
heur033.gr,9085,0.09063410758972168
heur034.gr,2089,0.06719970703125
heur035.gr,3488,0.10409784317016602
heur036.gr,11805,0.16980934143066406
heur037.gr,9137,0.2065131664276123
heur038.gr,6153,0.07295966148376465
heur039.gr,5119,0.09094643592834473
heur040.gr,4252,0.13690805435180664
heur041.gr,3448,0.23214292526245117
heur042.gr,905,0.13492226600646973
heur043.gr,10667,0.18990397453308105
heur044.gr,2478,0.045974016189575195
heur045.gr,6264,0.08329272270202637
heur046.gr,14241,0.21327686309814453
heur047.gr,16927,0.23169350624084473
heur048.gr,20379,0.19421601295471191
heur049.gr,17093,0.20665335655212402
heur050.gr,23506,0.235595703125
heur051.gr,9302,0.3301560878753662
heur052.gr,28210,0.35997629165649414
heur053.gr,8936,0.6234183311462402
heur054.gr,1380,0.09929966926574707
heur055.gr,5121,0.12029099464416504
heur056.gr,11078,0.16326594352722168
heur057.gr,3350,0.059738874435424805
heur058.gr,6265,0.06774592399597168
heur059.gr,13867,0.1442279815673828
heur060.gr,23175,0.19774484634399414
heur061.gr,28687,0.2705192565917969
heur062.gr,31926,0.30514097213745117
heur063.gr,28624,0.3355526924133301
heur064.gr,21072,0.39772939682006836
heur065.gr,35744,0.48613572120666504
heur066.gr,35968,0.6859114170074463
heur067.gr,2511,0.15550994873046875
heur068.gr,6007,0.23612427711486816
heur069.gr,3145,0.07734274864196777
heur070.gr,7569,0.15082120895385742
heur071.gr,15771,0.20958471298217773
heur072.gr,2075,0.07397317886352539
heur073.gr,7832,0.12194514274597168
heur074.gr,25771,0.324512243270874
heur075.gr,2938,0.06896042823791504
heur076.gr,7157,0.12614917755126953
heur077.gr,21415,0.2772805690765381
heur078.gr,50489,0.6360883712768555
heur079.gr,27081,1.145488977432251
heur080.gr,1391,1.2124929428100586
heur081.gr,8514,0.16148734092712402
heur082.gr,8530,0.2258164882659912
heur083.gr,14503,0.34766554832458496
heur084.gr,28660,0.4707458019256592
heur085.gr,35192,0.4418504238128662
heur086.gr,4025,0.11011695861816406
heur087.gr,3190,0.1471085548400879
heur088.gr,2316,0.15546417236328125
heur089.gr,2049,0.24899029731750488
heur090.gr,14050,0.1853313446044922
heur091.gr,24083,0.3182675838470459
heur092.gr,34731,0.42310547828674316
heur093.gr,39522,0.45356321334838867
heur094.gr,13709,0.29937148094177246
heur095.gr,4467,0.15586376190185547
heur096.gr,4145,0.266312837600708
heur097.gr,4603,0.3675825595855713
heur098.gr,15696,0.24529099464416504
heur099.gr,18843,0.3809206485748291
heur100.gr,20110,0.5251929759979248
heur101.gr,25774,0.593327522277832
heur102.gr,13862,0.2429802417755127
heur103.gr,16415,0.33659839630126953
heur104.gr,20167,0.40712952613830566
heur105.gr,29961,0.5817303657531738
heur106.gr,66524,0.9068665504455566
heur107.gr,6220,0.3312795162200928
heur108.gr,12225,0.3097543716430664
heur109.gr,25495,0.4224836826324463
heur110.gr,40304,0.7195007801055908
heur111.gr,86384,1.1513745784759521
heur112.gr,11293,0.2738301753997803
heur113.gr,10378,0.29979681968688965
heur114.gr,15513,0.47513437271118164
heur115.gr,33027,0.5395467281341553
heur116.gr,94123,0.9294686317443848
heur117.gr,13007,0.4781498908996582
heur118.gr,16166,0.48663949966430664
heur119.gr,20101,0.7733302116394043
heur120.gr,41091,0.7774057388305664
heur121.gr,72993,1.0234136581420898
heur122.gr,15656,0.6584315299987793
heur123.gr,20316,0.6150374412536621
heur124 (1).gr,25353,0.6832053661346436
heur124.gr,33150,0.7980766296386719
heur125.gr,43164,0.9130270481109619
heur126.gr,69704,0.9992821216583252
heur127.gr,21465,0.4167766571044922
heur128.gr,143435,1.158752679824829
heur129.gr,521530,4.403940916061401
heur130.gr,1401849,12.452823638916016
heur131.gr,652019,24.067719221115112
heur132.gr,103299,27.165698766708374
heur133.gr,445,30.264171361923218
heur134.gr,2528,1.2011094093322754
heur135.gr,26126,0.6859655380249023
heur136.gr,143676,1.3666739463806152
heur137.gr,550474,4.832770824432373
heur138.gr,1368203,14.455042839050293
heur139.gr,722787,24.27699327468872
heur140.gr,121476,29.458767890930176
heur141.gr,5849,0.8044793605804443
heur142.gr,29490,0.48237085342407227
heur143.gr,164977,1.4198100566864014
heur144.gr,588148,5.254701375961304
heur145.gr,1286996,13.262098789215088
heur146.gr,775815,25.2210476398468
